stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
400751,W 72 ST/BROADWAY,,40.779127,-73.982766,,,0,1
401704,1 AV/E 57 ST,,40.758829,-73.962462,,,0,1
402205,W 57 ST/11 AV,,40.77023,-73.991334,,,0,1
402214,E 57 ST/LEXINGTON AV,,40.760727,-73.968725,,,0,1
402215,E 57 ST/3 AV,,40.75991,-73.966804,,,0,1
402216,E 57 ST/2 AV,,40.759086,-73.96486,,,0,1
403036,WEST END AV/W 72 ST,,40.779534,-73.98481,,,0,1
403037,WEST END AV/W 69 ST,,40.777468,-73.986337,,,0,1
403038,WEST END AV/W 66 ST,,40.77618,-73.987276,,,0,1
403562,W 57 ST/8 AV,,40.766592,-73.982719,,,0,1
403620,E 57 ST/MADISON AV,,40.762047,-73.971943,,,0,1
403621,W 57 ST/AV OF THE AMERICAS,,40.764061,-73.976728,,,0,1
403626,WEST END AV/W 59 ST,,40.77141,-73.990797,,,0,1
403736,W 57 ST/7 AV,,40.765563,-73.980322,,,0,1
403984,W 57 ST/9 AV,,40.767697,-73.98534,,,0,1
403992,W 57 ST/10 AV,,40.768866,-73.988149,,,0,1
404036,WEST END AV/W 61 ST,,40.772991,-73.989602,,,0,1
404826,WEST END AV/W 64 ST,,40.77449,-73.98841,,,0,1
405138,1 AV/E 60 ST,,40.759751,-73.961795,,,0,1
803095,W 57 ST/5 AV,,40.763031,-73.974302,,,0,1
903094,E 60 ST/YORK AV,,40.759519,-73.959889,,,0,1
